team,player_name,player_type,batting_t20_m,batting_t20_inn,batting_t20_runs,batting_t20_bf,batting_t20_hs,batting_t20_avg,batting_t20_sr,batting_t20_no,batting_t20_4s,batting_t20_6s,batting_t20_50,batting_t20_100,batting_t20_200,bowling_t20_m,bowling_t20_inn,bowling_t20_b,bowling_t20_runs,bowling_t20_wkts,bowling_t20_avg,bowling_t20_econ,bowling_t20_sr,bowling_t20_bbi,bowling_t20_bbm,bowling_t20_5w,bowling_t20_10w,batting_ipl_m,batting_ipl_inn,batting_ipl_runs,batting_ipl_bf,batting_ipl_hs,batting_ipl_avg,batting_ipl_sr,batting_ipl_no,batting_ipl_4s,batting_ipl_6s,batting_ipl_50,batting_ipl_100,batting_ipl_200,bowling_ipl_m,bowling_ipl_inn,bowling_ipl_b,bowling_ipl_runs,bowling_ipl_wkts,bowling_ipl_avg,bowling_ipl_econ,bowling_ipl_sr,bowling_ipl_bbi,bowling_ipl_bbm,bowling_ipl_5w,bowling_ipl_10w,player
CHE,Kamlesh Nagarkoti,BOWL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,12.0,7.0,22.0,33.0,8.0,5.5,66.67,3.0,1.0,0.0,0.0,0.0,0.0,12.0,11.0,180.0,285.0,5.0,57.0,9.5,36.0,2/13,2/13,0.0,0.0,kamlesh nagarkoti
CHE,Rachin Ravindra,BAT,26,24.0,309.0,242.0,69.0,17.17,127.69,6.0,19.0,14.0,2.0,0.0,0.0,26.0,15.0,246.0,270.0,13.0,20.77,6.59,18.92,3/22,3/22,0.0,0.0,15.0,15.0,367.0,247.0,65.0,26.21,148.59,1.0,35.0,16.0,2.0,0.0,0.0,15.0,2.0,12.0,7.0,0.0,0.0,3.5,0.0,0/3,0/3,0.0,0.0,rachin ravindra
CHE,Khaleel Ahmed,BOWL,18,2.0,1.0,2.0,1.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,396.0,562.0,16.0,35.13,8.52,24.75,2/27,2/27,0.0,0.0,62.0,5.0,1.0,7.0,1.0,0.2,14.29,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,1396.0,2046.0,84.0,24.36,8.79,16.62,3/21,3/21,0.0,0.0,khaleel ahmed
CHE,Shivam Dube,BAT,35,26.0,531.0,379.0,63.0,31.24,140.11,9.0,37.0,28.0,4.0,0.0,0.0,35.0,24.0,285.0,445.0,13.0,34.23,9.37,21.92,3/30,3/30,0.0,0.0,70.0,66.0,1608.0,1098.0,95.0,29.24,146.45,11.0,93.0,108.0,9.0,0.0,0.0,70.0,14.0,112.0,180.0,5.0,36.0,9.64,22.4,2/15,2/15,0.0,0.0,shivam dube
CHE,Rahul Tripathi,BAT,5,5.0,97.0,67.0,44.0,19.4,144.78,0.0,11.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,98.0,96.0,2266.0,1630.0,93.0,26.35,139.02,10.0,227.0,85.0,12.0,0.0,0.0,98.0,1.0,6.0,12.0,0.0,0.0,12.0,0.0,0/12,0/12,0.0,0.0,rahul tripathi
CHE,Sam Curran,ALL,58,34.0,356.0,286.0,50.0,14.24,124.48,9.0,21.0,15.0,1.0,0.0,0.0,58.0,57.0,1043.0,1462.0,54.0,27.07,8.41,19.31,5/10,5/10,1.0,0.0,61.0,50.0,895.0,669.0,63.0,24.19,133.79,13.0,74.0,37.0,5.0,0.0,0.0,61.0,60.0,1205.0,1947.0,58.0,33.57,9.69,20.78,4/11,4/11,0.0,0.0,sam curran
CHE,Shreyas Gopal,BOWL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,52.0,22.0,180.0,169.0,24.0,12.86,106.51,8.0,19.0,2.0,0.0,0.0,0.0,52.0,51.0,991.0,1348.0,52.0,25.92,8.16,19.06,4/16,4/16,0.0,0.0,shreyas gopal
CHE,Deepak Hooda,BAT,21,17.0,368.0,250.0,104.0,30.67,147.2,5.0,29.0,18.0,0.0,1.0,0.0,21.0,8.0,95.0,76.0,6.0,12.67,4.8,15.83,4/10,4/10,0.0,0.0,120.0,98.0,1472.0,1145.0,64.0,17.95,128.56,16.0,97.0,61.0,8.0,0.0,0.0,120.0,33.0,373.0,531.0,10.0,53.1,8.54,37.3,2/16,2/16,0.0,0.0,deepak hooda
CHE,Devon Conway,WK,50,46.0,1408.0,1102.0,99.0,38.05,127.77,9.0,135.0,37.0,10.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,25.0,24.0,1006.0,717.0,92.0,47.9,140.31,3.0,106.0,32.0,10.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,devon conway
CHE,Jamie Overton,ALL,12,8.0,50.0,47.0,19.0,8.33,106.39,2.0,3.0,1.0,0.0,0.0,0.0,12.0,8.0,136.0,186.0,11.0,16.91,8.21,12.36,3/20,3/20,0.0,0.0,1.0,1.0,11.0,4.0,11.0,0.0,275.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,12.0,30.0,0.0,0.0,15.0,0.0,0/30,0/30,0.0,0.0,jamie overton
