team,player_name,player_type,batting_t20_m,batting_t20_inn,batting_t20_runs,batting_t20_bf,batting_t20_hs,batting_t20_avg,batting_t20_sr,batting_t20_no,batting_t20_4s,batting_t20_6s,batting_t20_50,batting_t20_100,batting_t20_200,bowling_t20_m,bowling_t20_inn,bowling_t20_b,bowling_t20_runs,bowling_t20_wkts,bowling_t20_avg,bowling_t20_econ,bowling_t20_sr,bowling_t20_bbi,bowling_t20_bbm,bowling_t20_5w,bowling_t20_10w,batting_ipl_m,batting_ipl_inn,batting_ipl_runs,batting_ipl_bf,batting_ipl_hs,batting_ipl_avg,batting_ipl_sr,batting_ipl_no,batting_ipl_4s,batting_ipl_6s,batting_ipl_50,batting_ipl_100,batting_ipl_200,bowling_ipl_m,bowling_ipl_inn,bowling_ipl_b,bowling_ipl_runs,bowling_ipl_wkts,bowling_ipl_avg,bowling_ipl_econ,bowling_ipl_sr,bowling_ipl_bbi,bowling_ipl_bbm,bowling_ipl_5w,bowling_ipl_10w,boundary_ratio,batting_consistency,economy_impact,strike_power,is_allrounder,player,IsPlaying,Credits,Player Type
GT,Sai Sudharsan,BAT,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,30.0,30.0,1307.0,923.0,103.0,48.41,141.61,3.0,119.0,43.0,9.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,0.1755146262188515,0.3418543888143492,0.0,0.0,0,sai sudharsan,PLAYING,8.5,BAT
GT,Sherfane Rutherford,BAT,28,23.0,428.0,299.0,68.0,25.18,143.15,6.0,26.0,29.0,2.0,0.0,0.0,28.0,3.0,42.0,72.0,1.0,72.0,10.29,42.0,1/21,1/21,0.0,0.0,15.0,14.0,242.0,180.0,46.0,24.2,134.45,4.0,14.0,18.0,0.0,0.0,0.0,15.0,6.0,41.0,59.0,1.0,59.0,8.63,41.0,1/6,1/6,0.0,0.0,0.1777777777777777,0.1799925622908144,0.115874855156431,0.024390243902439,0,sherfane rutherford,PLAYING,7.5,BAT
GT,Shubman Gill,BAT,21,21.0,578.0,415.0,126.0,30.42,139.28,2.0,60.0,22.0,3.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,108.0,105.0,3364.0,2471.0,129.0,37.8,136.14,16.0,326.0,100.0,21.0,4.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,0.1723998381222177,0.2776553547818422,0.0,0.0,0,shubman gill,PLAYING,9.0,BAT
GT,Ravisrinivasan Sai Kishore,BOWL,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,72.0,63.0,4.0,15.75,5.25,18.0,3/12,3/12,0.0,0.0,15.0,3.0,14.0,7.0,13.0,7.0,200.0,1.0,0.0,2.0,0.0,0.0,0.0,15.0,15.0,296.0,391.0,23.0,17.0,7.93,12.87,4/33,4/33,0.0,0.0,0.2857142857142857,0.035,2.900378310214376,1.7871017871017871,0,ravisrinivasan sai kishore,PLAYING,7.5,BOWL
GT,Shahrukh Khan,ALL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,45.0,41.0,604.0,419.0,58.0,20.13,144.16,11.0,39.0,41.0,1.0,0.0,0.0,45.0,2.0,12.0,15.0,0.0,0.0,7.5,0.0,0/7,0/7,0.0,0.0,0.1909307875894988,0.1396365149833518,0.0,0.0,0,shahrukh khan,PLAYING,7.5,ALL
GT,Mohammed Siraj,BOWL,16,5.0,14.0,16.0,7.0,7.0,87.5,3.0,1.0,0.0,0.0,0.0,0.0,16.0,16.0,348.0,452.0,14.0,32.29,7.79,24.86,4/17,4/17,0.0,0.0,98.0,25.0,109.0,119.0,14.0,10.9,91.6,15.0,10.0,4.0,0.0,0.0,0.0,98.0,98.0,2078.0,2976.0,103.0,28.89,8.59,20.17,4/17,4/17,0.0,0.0,0.1176470588235294,0.1189956331877729,11.9906868451688,5.106593951412989,0,mohammed siraj,PLAYING,8.0,BOWL
GT,Rashid-Khan,BOWL,96,59.0,467.0,370.0,48.0,13.74,126.22,25.0,31.0,28.0,0.0,0.0,0.0,96.0,96.0,2192.0,2222.0,161.0,13.8,6.08,13.61,5/3,5/3,2.0,0.0,126.0,62.0,563.0,345.0,79.0,14.44,163.19,23.0,40.0,40.0,1.0,0.0,0.0,126.0,126.0,2967.0,3432.0,152.0,22.58,6.94,19.52,4/24,4/24,0.0,0.0,0.2318840579710145,0.0884858140817452,21.902017291066283,7.786885245901639,1,rashid-khan,PLAYING,9.0,BOWL
GT,Prasidh Krishna,BOWL,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,120.0,220.0,8.0,27.5,11.0,15.0,3/41,3/41,0.0,0.0,56.0,10.0,9.0,24.0,4.0,3.0,37.5,7.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,1259.0,1837.0,57.0,32.23,8.75,22.09,4/30,4/30,0.0,0.0,0.0,0.08,6.514285714285714,2.5803531009506564,0,prasidh krishna,PLAYING,7.5,BOWL
GT,Rahul Tewatia,ALL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,98.0,68.0,1043.0,766.0,53.0,24.83,136.17,26.0,86.0,50.0,1.0,0.0,0.0,98.0,52.0,843.0,1111.0,32.0,34.72,7.91,26.34,3/18,3/18,0.0,0.0,0.1775456919060052,0.1823455974149959,4.04551201011378,1.2148823082763858,1,rahul tewatia,PLAYING,7.0,ALL
GT,Kagiso Rabada,BOWL,65,24.0,156.0,141.0,22.0,17.33,110.64,15.0,14.0,5.0,0.0,0.0,0.0,65.0,65.0,1393.0,1928.0,71.0,27.15,8.3,19.62,3/18,3/18,0.0,0.0,82.0,32.0,213.0,198.0,44.0,12.53,107.58,15.0,16.0,9.0,0.0,0.0,0.0,82.0,82.0,1866.0,2653.0,119.0,22.29,8.53,15.68,4/21,4/21,0.0,0.0,0.1262626262626262,0.1164714630972299,13.950762016412662,7.589285714285714,1,kagiso rabada,PLAYING,8.5,BOWL
