team,player_name,player_type,batting_t20_m,batting_t20_inn,batting_t20_runs,batting_t20_bf,batting_t20_hs,batting_t20_avg,batting_t20_sr,batting_t20_no,batting_t20_4s,batting_t20_6s,batting_t20_50,batting_t20_100,batting_t20_200,bowling_t20_m,bowling_t20_inn,bowling_t20_b,bowling_t20_runs,bowling_t20_wkts,bowling_t20_avg,bowling_t20_econ,bowling_t20_sr,bowling_t20_bbi,bowling_t20_bbm,bowling_t20_5w,bowling_t20_10w,batting_ipl_m,batting_ipl_inn,batting_ipl_runs,batting_ipl_bf,batting_ipl_hs,batting_ipl_avg,batting_ipl_sr,batting_ipl_no,batting_ipl_4s,batting_ipl_6s,batting_ipl_50,batting_ipl_100,batting_ipl_200,bowling_ipl_m,bowling_ipl_inn,bowling_ipl_b,bowling_ipl_runs,bowling_ipl_wkts,bowling_ipl_avg,bowling_ipl_econ,bowling_ipl_sr,bowling_ipl_bbi,bowling_ipl_bbm,bowling_ipl_5w,bowling_ipl_10w,boundary_ratio,batting_consistency,economy_impact,strike_power,is_allrounder,player,IsPlaying,Credits,Player Type
LSG,Digvesh Singh,BOWL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,120.0,155.0,7.0,22.14,7.75,17.14,2/30,2/30,0.0,0.0,0.0,0.0,0.9032258064516128,0.4084014002333722,0,digvesh singh,PLAYING,6.0,BOWL
LSG,Ravi Bishnoi,BOWL,42,13.0,55.0,42.0,9.0,7.86,130.96,6.0,8.0,1.0,0.0,0.0,0.0,42.0,42.0,964.0,1182.0,61.0,19.38,7.36,15.8,4/13,4/13,0.0,0.0,71.0,16.0,32.0,52.0,6.0,3.56,61.54,7.0,2.0,0.0,0.0,0.0,0.0,71.0,70.0,1525.0,2061.0,67.0,30.76,8.11,22.76,3/24,3/24,0.0,0.0,0.0384615384615384,0.0578485537861553,8.261405672009865,2.9437609841827768,0,ravi bishnoi,PLAYING,8.0,BOWL
LSG,Abdul Samad,BAT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,54.0,44.0,636.0,421.0,37.0,19.27,151.07,11.0,43.0,40.0,0.0,0.0,0.0,54.0,6.0,56.0,119.0,2.0,59.5,12.75,28.0,1/9,1/9,0.0,0.0,0.1971496437054631,0.1275567617660687,0.1568627450980392,0.0714285714285714,0,abdul samad,PLAYING,6.5,BAT
LSG,Ayush Badoni,BAT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,47.0,39.0,715.0,536.0,59.0,23.83,133.4,9.0,52.0,27.0,4.0,0.0,0.0,47.0,5.0,25.0,36.0,2.0,18.0,8.64,12.5,1/5,1/5,0.0,0.0,0.1473880597014925,0.1786356821589205,0.2314814814814814,0.16,0,ayush badoni,PLAYING,7.0,BAT
LSG,Rishabh Pant,WK,76,66.0,1209.0,949.0,65.0,23.25,127.4,14.0,111.0,44.0,3.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,116.0,114.0,3303.0,2237.0,128.0,34.05,147.66,17.0,296.0,155.0,18.0,1.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,0.2016092981671882,0.2305973181633482,0.0,0.0,0,rishabh pant,PLAYING,8.5,WK
LSG,Aiden Markram,ALL,57,53.0,1367.0,950.0,70.0,30.38,143.9,8.0,123.0,56.0,9.0,0.0,0.0,57.0,30.0,342.0,487.0,13.0,37.46,8.54,26.31,3/21,3/21,0.0,0.0,49.0,47.0,1139.0,868.0,68.0,29.97,131.23,9.0,84.0,43.0,6.0,0.0,0.0,49.0,14.0,121.0,172.0,2.0,86.0,8.53,60.5,1/8,1/8,0.0,0.0,0.1463133640552995,0.2283776575478168,0.2344665885111372,0.0330578512396694,0,aiden markram,PLAYING,8.0,ALL
LSG,Avesh Khan,BOWL,25,5.0,27.0,20.0,16.0,13.5,135.0,3.0,3.0,1.0,0.0,0.0,0.0,25.0,24.0,499.0,752.0,27.0,27.85,9.04,18.48,4/18,4/18,0.0,0.0,66.0,12.0,43.0,26.0,12.0,21.5,165.39,10.0,3.0,3.0,0.0,0.0,0.0,66.0,66.0,1425.0,2134.0,77.0,27.71,8.99,18.51,4/24,4/24,0.0,0.0,0.2307692307692307,0.1299957675796602,8.565072302558399,4.159913560237709,0,avesh khan,PLAYING,8.0,BOWL
LSG,Nicholas Pooran,WK,106,97.0,2275.0,1668.0,98.0,26.15,136.4,10.0,152.0,149.0,13.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,81.0,78.0,2057.0,1218.0,87.0,34.86,168.89,19.0,137.0,151.0,12.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,0.2364532019704433,0.2064065367991,0.0,0.0,0,nicholas pooran,PLAYING,9.0,WK
LSG,David Miller,BAT,130,114.0,2593.0,1842.0,106.0,33.24,140.78,36.0,168.0,130.0,8.0,2.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,135.0,129.0,3014.0,2162.0,101.0,36.31,139.41,46.0,216.0,137.0,13.0,1.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,0.1632747456059204,0.2604547736891184,0.0,0.0,0,david miller,PLAYING,8.0,BAT
LSG,Mitchell Marsh,BAT,65,62.0,1629.0,1203.0,92.0,31.94,135.42,11.0,139.0,76.0,9.0,0.0,0.0,65.0,25.0,300.0,387.0,17.0,22.76,7.74,17.65,3/24,3/24,0.0,0.0,47.0,41.0,930.0,668.0,89.0,23.85,139.23,2.0,76.0,53.0,7.0,0.0,0.0,47.0,34.0,560.0,795.0,37.0,21.49,8.52,15.14,4/25,4/25,0.0,0.0,0.1931137724550898,0.1712992889463478,4.342723004694836,2.4438573315719947,1,mitchell marsh,PLAYING,8.5,BAT
