bowler,team,runs_conceded,balls,wickets,extras,match_id,overs,economy,average
IS Sodhi,Rajasthan Royals,204,182,9,3,8,30.3,6.732673267326732,22.666666666666668
Imran Tahir,Chennai Super Kings,727,606,36,25,27,101.0,7.198019801980198,20.194444444444443
Imran Tahir,Delhi Daredevils,632,448,31,34,20,74.7,8.460508701472557,20.387096774193548
Imran Tahir,Rising Pune Supergiant,370,286,19,6,12,47.7,7.756813417190775,19.473684210526315
Iqbal Abdulla,Kolkata Knight Riders,686,621,32,21,32,103.5,6.628019323671498,21.4375
Iqbal Abdulla,Rajasthan Royals,18,12,0,1,1,2.0,9.0,18.0
Iqbal Abdulla,Royal Challengers Bangalore,421,310,13,20,15,51.7,8.143133462282398,32.38461538461539
J Botha,Delhi Daredevils,114,102,5,7,6,17.0,6.705882352941177,22.8
J Botha,Kolkata Knight Riders,82,62,1,3,4,10.3,7.9611650485436884,82.0
J Botha,Rajasthan Royals,622,545,21,27,24,90.8,6.850220264317181,29.61904761904762
J Little,Gujarat Titans,341,236,13,10,11,39.3,8.676844783715014,26.23076923076923
J Suchith,Delhi Capitals,28,24,2,0,1,4.0,7.0,14.0
J Suchith,Mumbai Indians,369,253,10,10,13,42.2,8.744075829383887,36.9
J Suchith,Sunrisers Hyderabad,207,157,8,9,7,26.2,7.900763358778626,25.875
J Syed Mohammad,Royal Challengers Bangalore,286,196,10,7,11,32.7,8.74617737003058,28.6
J Theron,Deccan Chargers,66,51,3,3,2,8.5,7.764705882352941,22.0
J Theron,Kings XI Punjab,204,158,9,17,7,26.3,7.756653992395437,22.666666666666668
J Theron,Rajasthan Royals,41,26,1,3,1,4.3,9.534883720930234,41.0
J Yadav,Delhi Daredevils,197,183,4,4,10,30.5,6.459016393442623,49.25
J Yadav,Gujarat Titans,26,24,0,0,1,4.0,6.5,26.0
J Yadav,Mumbai Indians,224,191,5,6,9,31.8,7.044025157232705,44.8
JA Morkel,Chennai Super Kings,2103,1598,86,132,75,266.3,7.897108524220803,24.453488372093023
JA Morkel,Delhi Daredevils,113,74,3,6,4,12.3,9.186991869918698,37.666666666666664
JA Morkel,Rising Pune Supergiants,66,34,3,5,2,5.7,11.578947368421053,22.0
JA Morkel,Royal Challengers Bangalore,127,101,4,10,6,16.8,7.559523809523809,31.75
JA Richardson,Delhi Capitals,40,25,0,2,1,4.2,9.523809523809524,40.0
JA Richardson,Punjab Kings,122,69,3,8,3,11.5,10.608695652173912,40.666666666666664
JC Archer,Mumbai Indians,202,129,2,25,5,21.5,9.395348837209303,101.0
JC Archer,Rajasthan Royals,1088,885,47,67,36,147.5,7.376271186440678,23.148936170212767
JD Ryder,Pune Warriors,193,137,6,9,11,22.8,8.464912280701753,32.166666666666664
JD Ryder,Royal Challengers Bangalore,121,104,5,8,5,17.3,6.99421965317919,24.2
JD Unadkat,Delhi Daredevils,308,207,10,10,10,34.5,8.927536231884059,30.8
JD Unadkat,Kolkata Knight Riders,317,210,10,5,11,35.0,9.057142857142857,31.7
JD Unadkat,Lucknow Super Giants,92,52,1,8,3,8.7,10.574712643678161,92.0
JD Unadkat,Mumbai Indians,191,123,7,5,5,20.5,9.317073170731707,27.285714285714285
JD Unadkat,Rajasthan Royals,1287,824,32,37,39,137.3,9.373634377276037,40.21875
JD Unadkat,Rising Pune Supergiant,330,279,27,12,12,46.5,7.096774193548387,12.222222222222221
JD Unadkat,Royal Challengers Bangalore,373,299,13,8,13,49.8,7.4899598393574305,28.692307692307693
JD Unadkat,Sunrisers Hyderabad,321,200,9,15,11,33.3,9.63963963963964,35.666666666666664
JDP Oram,Chennai Super Kings,288,194,12,11,11,32.3,8.91640866873065,24.0
JDP Oram,Mumbai Indians,28,26,0,8,1,4.3,6.511627906976744,28.0
JDP Oram,Rajasthan Royals,46,24,1,1,2,4.0,11.5,46.0
JDS Neesham,Delhi Daredevils,96,57,1,8,4,9.5,10.105263157894736,96.0
JDS Neesham,Kings XI Punjab,149,93,2,4,5,15.5,9.612903225806452,74.5
JDS Neesham,Mumbai Indians,68,54,5,2,3,9.0,7.555555555555555,13.6
JDS Neesham,Rajasthan Royals,29,18,0,0,1,3.0,9.666666666666666,29.0
JE Root,Rajasthan Royals,15,12,0,1,1,2.0,7.5,15.0
JE Taylor,Pune Warriors,167,122,6,15,5,20.3,8.226600985221674,27.833333333333332
JEC Franklin,Mumbai Indians,225,155,9,9,15,25.8,8.720930232558139,25.0
JH Kallis,Kolkata Knight Riders,1180,949,48,58,48,158.2,7.4589127686472825,24.583333333333332
JH Kallis,Royal Challengers Bangalore,1168,850,26,68,41,141.7,8.242766407904023,44.92307692307692
JJ Bumrah,Mumbai Indians,3840,3185,182,227,133,530.8,7.234363225320272,21.0989010989011
JJ van der Wath,Royal Challengers Bangalore,134,76,3,9,3,12.7,10.551181102362206,44.666666666666664
JL Pattinson,Mumbai Indians,321,222,11,10,10,37.0,8.675675675675675,29.181818181818183
JM Kemp,Chennai Super Kings,58,47,3,7,5,7.8,7.435897435897436,19.333333333333332
JO Holder,Chennai Super Kings,173,125,4,10,6,20.8,8.317307692307692,43.25
JO Holder,Kolkata Knight Riders,105,83,3,7,4,13.8,7.608695652173913,35.0
JO Holder,Lucknow Super Giants,399,266,16,25,12,44.3,9.006772009029346,24.9375
JO Holder,Rajasthan Royals,290,176,4,11,8,29.3,9.897610921501705,72.5
JO Holder,Sunrisers Hyderabad,522,399,32,33,16,66.5,7.849624060150376,16.3125
JP Behrendorff,Mumbai Indians,563,379,22,28,17,63.2,8.908227848101266,25.59090909090909
JP Duminy,Deccan Chargers,253,189,5,15,14,31.5,8.031746031746032,50.6
JP Duminy,Delhi Daredevils,425,354,13,20,25,59.0,7.203389830508475,32.69230769230769
JP Duminy,Mumbai Indians,169,158,5,10,10,26.3,6.425855513307985,33.8
JP Faulkner,Gujarat Lions,447,272,13,19,15,45.3,9.867549668874172,34.38461538461539
JP Faulkner,Kings XI Punjab,74,49,3,3,2,8.2,9.02439024390244,24.666666666666668
JP Faulkner,Pune Warriors,10,12,1,1,1,2.0,5.0,10.0
JP Faulkner,Rajasthan Royals,1318,954,59,82,42,159.0,8.28930817610063,22.338983050847457
JPR Scantlebury-Searles,Kolkata Knight Riders,89,45,2,3,3,7.5,11.866666666666667,44.5
JR Hazlewood,Chennai Super Kings,374,276,12,23,12,46.0,8.130434782608695,31.166666666666668
JR Hazlewood,Royal Challengers Bangalore,456,346,24,16,15,57.7,7.902946273830156,19.0
JR Hazlewood,Royal Challengers Bengaluru,23,24,2,1,1,4.0,5.75,11.5
JR Hopes,Delhi Daredevils,277,198,7,11,9,33.0,8.393939393939394,39.57142857142857
JR Hopes,Kings XI Punjab,285,171,7,12,11,28.5,10.0,40.714285714285715
JW Hastings,Chennai Super Kings,29,19,1,1,1,3.2,9.0625,29.0
JW Hastings,Kolkata Knight Riders,37,42,2,2,2,7.0,5.285714285714286,18.5
Jalaj S Saxena,Punjab Kings,27,18,0,0,1,3.0,9.0,27.0
Jaskaran Singh,Deccan Chargers,174,111,6,12,7,18.5,9.405405405405405,29.0
Joginder Sharma,Chennai Super Kings,421,272,13,19,15,45.3,9.293598233995585,32.38461538461539
K Goel,Kings XI Punjab,94,67,0,2,6,11.2,8.392857142857144,94.0
K Gowtham,Kings XI Punjab,84,48,1,0,2,8.0,10.5,84.0
K Gowtham,Lucknow Super Giants,249,185,8,8,11,30.8,8.084415584415584,31.125
K Gowtham,Rajasthan Royals,492,366,13,20,22,61.0,8.065573770491802,37.84615384615385
K Kartikeya,Mumbai Indians,334,241,10,13,12,40.2,8.308457711442786,33.4
K Khejroliya,Kolkata Knight Riders,64,28,2,2,2,4.7,13.617021276595745,32.0
K Khejroliya,Royal Challengers Bangalore,157,101,3,10,5,16.8,9.345238095238095,52.333333333333336
K Rabada,Delhi Capitals,1411,1058,77,70,44,176.3,8.003403289846851,18.324675324675326
K Rabada,Delhi Daredevils,198,137,8,24,6,22.8,8.68421052631579,24.75
K Rabada,Punjab Kings,1043,712,41,72,30,118.7,8.786857624262847,25.4390243902439
K Santokie,Mumbai Indians,91,51,3,4,2,8.5,10.705882352941176,30.333333333333332
K Upadhyay,Pune Warriors,81,56,0,2,3,9.3,8.709677419354838,81.0
K Yadav,Rajasthan Royals,85,54,2,1,3,9.0,9.444444444444445,42.5
KA Jamieson,Royal Challengers Bangalore,271,179,9,13,9,29.8,9.093959731543624,30.11111111111111
KA Maharaj,Rajasthan Royals,39,36,2,0,2,6.0,6.5,19.5
KA Pollard,Mumbai Indians,2200,1586,81,123,107,264.3,8.323874385168368,27.160493827160494
KAJ Roach,Deccan Chargers,80,52,0,4,2,8.7,9.195402298850576,80.0
KC Cariappa,Kings XI Punjab,287,199,7,8,9,33.2,8.644578313253012,41.0
KC Cariappa,Kolkata Knight Riders,62,25,1,1,2,4.2,14.761904761904761,62.0
KH Pandya,Lucknow Super Giants,847,690,26,34,36,115.0,7.3652173913043475,32.57692307692308
KH Pandya,Mumbai Indians,1797,1493,54,87,81,248.8,7.222668810289389,33.27777777777778
KH Pandya,Royal Challengers Bengaluru,29,25,3,1,1,4.2,6.904761904761904,9.666666666666666
KJ Abbott,Kings XI Punjab,182,102,2,12,5,17.0,10.705882352941176,91.0
KK Ahmed,Chennai Super Kings,29,25,3,1,1,4.2,6.904761904761904,9.666666666666666
KK Ahmed,Delhi Capitals,1117,778,43,71,33,129.7,8.61218195836546,25.976744186046513
KK Ahmed,Sunrisers Hyderabad,801,567,35,39,24,94.5,8.476190476190476,22.885714285714286
KK Cooper,Rajasthan Royals,789,600,36,64,25,100.0,7.89,21.916666666666668
KL Nagarkoti,Delhi Capitals,29,13,0,1,1,2.2,13.18181818181818,29.0
KL Nagarkoti,Kolkata Knight Riders,258,172,5,6,10,28.7,8.989547038327526,51.6
KM Asif,Chennai Super Kings,93,52,4,3,3,8.7,10.689655172413794,23.25
KM Asif,Rajasthan Royals,139,91,3,10,4,15.2,9.144736842105264,46.333333333333336
KMA Paul,Delhi Capitals,239,180,10,23,8,30.0,7.966666666666667,23.9
KMDN Kulasekara,Chennai Super Kings,122,107,6,7,5,17.8,6.853932584269662,20.333333333333332
KP Appanna,Royal Challengers Bangalore,291,222,11,13,13,37.0,7.864864864864865,26.454545454545453
KP Pietersen,Delhi Daredevils,53,40,1,4,3,6.7,7.91044776119403,53.0
KP Pietersen,Royal Challengers Bangalore,165,140,8,9,10,23.3,7.081545064377682,20.625
KR Mayers,Lucknow Super Giants,59,46,0,4,6,7.7,7.662337662337662,59.0
KR Sen,Rajasthan Royals,396,255,14,24,12,42.5,9.31764705882353,28.285714285714285
KS Williamson,Sunrisers Hyderabad,31,18,0,0,2,3.0,10.333333333333334,31.0
KT Maphaka,Mumbai Indians,90,39,1,4,2,6.5,13.846153846153847,90.0
KV Sharma,Chennai Super Kings,288,193,10,6,11,32.2,8.944099378881987,28.8
KV Sharma,Mumbai Indians,217,189,13,8,9,31.5,6.888888888888889,16.692307692307693
KV Sharma,Royal Challengers Bangalore,229,132,11,9,7,22.0,10.409090909090908,20.818181818181817
KV Sharma,Royal Challengers Bengaluru,256,149,7,7,9,24.8,10.32258064516129,36.57142857142857
KV Sharma,Sunrisers Hyderabad,1140,857,41,38,46,142.8,7.9831932773109235,27.804878048780488
KW Richardson,Pune Warriors,103,73,2,4,3,12.2,8.442622950819672,51.5
KW Richardson,Rajasthan Royals,209,167,10,8,7,27.8,7.517985611510791,20.9
KW Richardson,Royal Challengers Bangalore,167,105,9,9,5,17.5,9.542857142857143,18.555555555555557
Kamran Khan,Pune Warriors,47,18,0,0,1,3.0,15.666666666666666,47.0
Kamran Khan,Rajasthan Royals,201,159,14,20,8,26.5,7.584905660377358,14.357142857142858
Karanveer Singh,Kings XI Punjab,323,213,14,11,9,35.5,9.098591549295774,23.071428571428573
Kartik Tyagi,Gujarat Titans,52,26,0,3,1,4.3,12.093023255813954,52.0
Kartik Tyagi,Rajasthan Royals,497,334,14,29,14,55.7,8.922800718132853,35.5
Kartik Tyagi,Sunrisers Hyderabad,171,98,2,13,5,16.3,10.490797546012269,85.5
Kuldeep Yadav,Delhi Capitals,1162,873,47,33,39,145.5,7.986254295532646,24.72340425531915
Kuldeep Yadav,Kolkata Knight Riders,1251,913,43,41,43,152.2,8.219448094612353,29.093023255813954
L Ablish,Kings XI Punjab,76,45,5,4,3,7.5,10.133333333333333,15.2
L Balaji,Chennai Super Kings,827,581,35,46,29,96.8,8.543388429752067,23.62857142857143
L Balaji,Kings XI Punjab,305,211,12,13,9,35.2,8.664772727272727,25.416666666666668
L Balaji,Kolkata Knight Riders,951,782,38,72,35,130.3,7.298541826554105,25.026315789473685
L Ngidi,Chennai Super Kings,460,342,28,30,14,57.0,8.070175438596491,16.428571428571427
L Wood,Mumbai Indians,94,38,1,3,2,6.3,14.920634920634921,94.0
LA Carseldine,Rajasthan Royals,6,7,1,1,1,1.2,5.0,6.0
LB Williams,Delhi Capitals,74,42,1,13,2,7.0,10.571428571428571,74.0
LE Plunkett,Delhi Daredevils,228,154,4,7,7,25.7,8.8715953307393,57.0
LH Ferguson,Gujarat Titans,433,298,16,22,13,49.7,8.712273641851105,27.0625
LH Ferguson,Kolkata Knight Riders,662,470,26,33,21,78.3,8.454661558109834,25.46153846153846
LH Ferguson,Rising Pune Supergiant,96,87,5,12,4,14.5,6.620689655172414,19.2
LH Ferguson,Royal Challengers Bengaluru,260,147,10,8,7,24.5,10.612244897959183,26.0
LI Meriwala,Delhi Capitals,32,19,1,1,1,3.2,10.0,32.0
LJ Wright,Pune Warriors,125,75,2,5,6,12.5,10.0,62.5
LMP Simmons,Mumbai Indians,34,18,1,0,1,3.0,11.333333333333334,34.0
LPC Silva,Deccan Chargers,21,6,0,0,1,1.0,21.0,21.0
LR Shukla,Delhi Daredevils,88,58,1,7,5,9.7,9.07216494845361,88.0
LR Shukla,Kolkata Knight Riders,370,268,16,22,22,44.7,8.277404921700223,23.125
LRPL Taylor,Rajasthan Royals,11,6,0,0,1,1.0,11.0,11.0
LRPL Taylor,Royal Challengers Bangalore,13,7,0,1,1,1.2,10.833333333333334,13.0
LS Livingstone,Punjab Kings,382,261,11,11,21,43.5,8.781609195402298,34.72727272727273
LS Livingstone,Rajasthan Royals,13,6,0,0,1,1.0,13.0,13.0
LS Livingstone,Royal Challengers Bengaluru,14,12,0,0,1,2.0,7.0,14.0
Lalit Yadav,Delhi Capitals,430,294,11,11,19,49.0,8.775510204081632,39.09090909090909
M Ashwin,Kings XI Punjab,497,402,15,17,19,67.0,7.417910447761194,33.13333333333333
M Ashwin,Mumbai Indians,233,179,9,10,8,29.8,7.818791946308725,25.88888888888889
M Ashwin,Punjab Kings,100,71,1,8,3,11.8,8.47457627118644,100.0
M Ashwin,Rajasthan Royals,53,25,0,1,2,4.2,12.619047619047619,53.0
M Ashwin,Rising Pune Supergiants,245,176,7,11,10,29.3,8.361774744027304,35.0
M Ashwin,Royal Challengers Bangalore,54,45,3,4,2,7.5,7.2,18.0
M Jansen,Mumbai Indians,47,40,3,6,2,6.7,7.014925373134328,15.666666666666666
M Jansen,Sunrisers Hyderabad,685,447,19,61,19,74.5,9.194630872483222,36.05263157894737
M Kartik,Kings XI Punjab,91,49,2,1,2,8.2,11.097560975609756,45.5
M Kartik,Kolkata Knight Riders,600,537,20,36,25,89.5,6.70391061452514,30.0
M Kartik,Pune Warriors,437,355,6,25,17,59.2,7.381756756756756,72.83333333333333
M Kartik,Royal Challengers Bangalore,290,241,11,15,11,40.2,7.213930348258706,26.363636363636363
M Manhas,Pune Warriors,42,42,0,0,3,7.0,6.0,42.0
M Markande,Mumbai Indians,496,347,17,17,19,57.8,8.581314878892734,29.176470588235293
M Markande,Rajasthan Royals,26,18,0,0,1,3.0,8.666666666666666,26.0
M Markande,Sunrisers Hyderabad,559,372,20,13,17,62.0,9.016129032258064,27.95
M Morkel,Delhi Daredevils,1143,910,52,68,37,151.7,7.534607778510218,21.98076923076923
M Morkel,Kolkata Knight Riders,887,699,35,57,29,116.5,7.613733905579399,25.34285714285714
M Morkel,Rajasthan Royals,106,90,1,6,4,15.0,7.066666666666666,106.0
M Muralitharan,Chennai Super Kings,1039,979,43,84,40,163.2,6.366421568627452,24.162790697674417
M Muralitharan,Kochi Tuskers Kerala,145,117,2,8,5,19.5,7.435897435897436,72.5
M Muralitharan,Royal Challengers Bangalore,581,485,22,31,21,80.8,7.1905940594059405,26.40909090909091
M Ntini,Chennai Super Kings,257,213,8,19,9,35.5,7.23943661971831,32.125
M Pathirana,Chennai Super Kings,617,503,38,93,20,83.8,7.362768496420048,16.236842105263158
