player,team,runs,balls,4s,6s,out,match_id,strike_rate,average,boundary_pct
NLTC Perera,Sunrisers Hyderabad,235,173,12,14,12,14,135.83815028901734,19.583333333333332,0.5617021276595745
NM Coulter-Nile,Delhi Daredevils,29,34,3,1,3,7,85.29411764705883,9.666666666666666,0.6206896551724138
NM Coulter-Nile,Kolkata Knight Riders,14,13,0,2,3,3,107.6923076923077,4.666666666666667,0.8571428571428571
NM Coulter-Nile,Mumbai Indians,38,26,4,1,4,5,146.15384615384613,9.5,0.5789473684210527
NM Coulter-Nile,Rajasthan Royals,1,2,0,0,0,1,50.0,1.0,0.0
NS Naik,Kings XI Punjab,23,33,1,0,2,2,69.6969696969697,11.5,0.17391304347826086
NS Naik,Kolkata Knight Riders,8,20,1,0,2,2,40.0,4.0,0.5
NT Ellis,Punjab Kings,19,26,0,1,4,5,73.07692307692307,4.75,0.3157894736842105
NV Ojha,Delhi Daredevils,425,413,33,24,26,33,102.90556900726394,16.346153846153847,0.6494117647058824
NV Ojha,Rajasthan Royals,545,439,53,26,19,22,124.14578587699316,28.68421052631579,0.6752293577981652
NV Ojha,Sunrisers Hyderabad,584,508,35,29,29,39,114.96062992125984,20.137931034482758,0.5376712328767124
Naman Dhir,Mumbai Indians,157,96,13,10,7,8,163.54166666666669,22.428571428571427,0.7133757961783439
Navdeep Saini,Rajasthan Royals,2,2,0,0,1,1,100.0,2.0,0.0
Navdeep Saini,Royal Challengers Bangalore,31,36,3,0,3,6,86.11111111111111,10.333333333333334,0.3870967741935484
Naveen-ul-Haq,Lucknow Super Giants,18,26,2,0,2,4,69.23076923076923,9.0,0.4444444444444444
Nithish Kumar Reddy,Sunrisers Hyderabad,333,238,19,22,10,12,139.9159663865546,33.3,0.6246246246246246
Noor Ahmad,Gujarat Titans,13,18,2,0,4,5,72.22222222222221,3.25,0.6153846153846154
OA Shah,Kochi Tuskers Kerala,26,16,1,2,1,2,162.5,26.0,0.6153846153846154
OA Shah,Kolkata Knight Riders,115,96,7,5,3,5,119.79166666666667,38.333333333333336,0.5043478260869565
OA Shah,Rajasthan Royals,365,293,26,16,9,15,124.57337883959045,40.55555555555556,0.547945205479452
OC McCoy,Rajasthan Royals,8,5,0,1,0,1,160.0,8.0,0.75
OF Smith,Punjab Kings,51,50,1,5,3,6,102.0,17.0,0.6666666666666666
P Awana,Kings XI Punjab,5,14,0,0,3,5,35.714285714285715,1.6666666666666667,0.0
P Chopra,Rajasthan Royals,8,6,2,0,1,1,133.33333333333331,8.0,1.0
P Dogra,Kings XI Punjab,15,25,0,0,5,3,60.0,3.0,0.0
P Dogra,Kolkata Knight Riders,5,8,0,0,1,1,62.5,5.0,0.0
P Dogra,Rajasthan Royals,107,108,4,5,6,8,99.07407407407408,17.833333333333332,0.42990654205607476
P Dubey,Delhi Capitals,23,33,2,0,1,2,69.6969696969697,23.0,0.34782608695652173
P Kumar,Gujarat Lions,32,36,3,0,5,8,88.88888888888889,6.4,0.375
P Kumar,Kings XI Punjab,109,106,7,5,10,21,102.8301886792453,10.9,0.5321100917431193
P Kumar,Mumbai Indians,1,2,0,0,1,1,50.0,1.0,0.0
P Kumar,Royal Challengers Bangalore,181,154,11,12,16,23,117.53246753246754,11.3125,0.6408839779005525
P Kumar,Sunrisers Hyderabad,17,25,1,0,2,4,68.0,8.5,0.23529411764705882
P Negi,Chennai Super Kings,116,77,10,5,6,9,150.64935064935065,19.333333333333332,0.603448275862069
P Negi,Delhi Daredevils,93,93,6,4,5,10,100.0,18.6,0.5161290322580645
P Negi,Royal Challengers Bangalore,156,131,11,7,15,16,119.08396946564885,10.4,0.5512820512820513
P Parameswaran,Kochi Tuskers Kerala,1,1,0,0,0,1,100.0,1.0,0.0
P Parameswaran,Royal Challengers Bangalore,0,2,0,0,0,1,0.0,0.0,0.0
P Ray Barman,Royal Challengers Bangalore,19,25,2,0,1,1,76.0,19.0,0.42105263157894735
P Sahu,Kings XI Punjab,19,13,1,1,0,2,146.15384615384613,19.0,0.5263157894736842
P Simran Singh,Kings XI Punjab,31,33,3,1,3,3,93.93939393939394,10.333333333333334,0.5806451612903226
P Simran Singh,Punjab Kings,725,495,75,40,32,31,146.46464646464648,22.65625,0.7448275862068966
PA Patel,Chennai Super Kings,516,529,67,7,24,26,97.54253308128544,21.5,0.6007751937984496
PA Patel,Deccan Chargers,194,166,19,4,12,12,116.86746987951808,16.166666666666668,0.5154639175257731
PA Patel,Kochi Tuskers Kerala,202,189,25,2,9,13,106.87830687830689,22.444444444444443,0.5544554455445545
PA Patel,Mumbai Indians,911,724,119,17,40,40,125.82872928176796,22.775,0.6344676180021954
PA Patel,Royal Challengers Bangalore,731,573,98,15,29,32,127.57417102966842,25.20689655172414,0.6593707250341997
PA Patel,Sunrisers Hyderabad,294,261,37,4,13,13,112.64367816091954,22.615384615384617,0.5850340136054422
PA Reddy,Deccan Chargers,73,63,6,2,3,3,115.87301587301589,24.333333333333332,0.4931506849315068
PA Reddy,Sunrisers Hyderabad,91,104,9,0,7,7,87.5,13.0,0.3956043956043956
PBB Rajapaksa,Punjab Kings,277,201,22,15,12,13,137.81094527363186,23.083333333333332,0.6425992779783394
PC Valthaty,Kings XI Punjab,499,420,60,20,20,21,118.80952380952381,24.95,0.7214428857715431
PC Valthaty,Rajasthan Royals,6,12,1,0,2,2,50.0,3.0,0.6666666666666666
PD Collingwood,Delhi Daredevils,203,159,9,13,4,7,127.67295597484276,50.75,0.5615763546798029
PD Salt,Delhi Capitals,218,135,24,10,8,9,161.4814814814815,27.25,0.7155963302752294
PD Salt,Kolkata Knight Riders,435,250,50,24,12,12,174.0,36.25,0.7908045977011494
PD Salt,Royal Challengers Bengaluru,56,32,9,2,1,1,175.0,56.0,0.8571428571428571
PJ Cummins,Delhi Daredevils,77,54,5,4,5,8,142.59259259259258,15.4,0.5714285714285714
PJ Cummins,Kolkata Knight Riders,302,206,19,22,17,21,146.60194174757282,17.764705882352942,0.6887417218543046
PJ Cummins,Sunrisers Hyderabad,136,100,9,8,7,11,136.0,19.428571428571427,0.6176470588235294
PJ Sangwan,Delhi Daredevils,18,30,0,0,4,8,60.0,4.5,0.0
PJ Sangwan,Gujarat Lions,2,4,0,0,2,3,50.0,1.0,0.0
PJ Sangwan,Gujarat Titans,2,6,0,0,1,1,33.33333333333333,2.0,0.0
PJ Sangwan,Kolkata Knight Riders,4,2,1,0,0,1,200.0,4.0,1.0
PJ Sangwan,Mumbai Indians,0,5,0,0,1,1,0.0,0.0,0.0
PK Garg,Delhi Capitals,22,23,1,0,3,2,95.65217391304348,7.333333333333333,0.18181818181818182
PK Garg,Sunrisers Hyderabad,251,224,15,9,16,17,112.05357142857142,15.6875,0.4541832669322709
PM Sarvesh Kumar,Deccan Chargers,1,2,0,0,0,1,50.0,1.0,0.0
PN Mankad,Lucknow Super Giants,93,74,12,2,3,4,125.67567567567568,31.0,0.6451612903225806
PN Mankad,Punjab Kings,4,1,1,0,0,1,400.0,4.0,1.0
PP Chawla,Kings XI Punjab,401,366,36,12,30,49,109.56284153005464,13.366666666666667,0.5386533665835411
PP Chawla,Kolkata Knight Riders,183,175,18,6,20,26,104.57142857142858,9.15,0.5901639344262295
PP Chawla,Mumbai Indians,40,39,2,2,7,11,102.56410256410255,5.714285714285714,0.5
PP Ojha,Deccan Chargers,6,19,0,0,7,10,31.57894736842105,0.8571428571428571,0.0
PP Ojha,Mumbai Indians,10,26,0,0,3,9,38.46153846153847,3.3333333333333335,0.0
PP Shaw,Delhi Capitals,1647,1156,211,51,68,70,142.47404844290656,24.220588235294116,0.6982392228293868
PP Shaw,Delhi Daredevils,245,165,27,10,9,9,148.4848484848485,27.22222222222222,0.6857142857142857
PR Shah,Mumbai Indians,87,92,8,2,7,8,94.56521739130434,12.428571428571429,0.5057471264367817
PR Shah,Rajasthan Royals,5,5,1,0,1,1,100.0,5.0,0.8
PSP Handscomb,Rising Pune Supergiants,6,12,0,0,1,1,50.0,6.0,0.0
PV Tambe,Gujarat Lions,7,19,1,0,0,1,36.84210526315789,7.0,0.5714285714285714
PV Tambe,Rajasthan Royals,11,20,0,0,1,5,55.00000000000001,11.0,0.0
PVD Chameera,Lucknow Super Giants,43,32,3,3,3,7,134.375,14.333333333333334,0.6976744186046512
PVSN Raju,Mumbai Indians,1,1,0,0,0,1,100.0,1.0,0.0
PWH de Silva,Royal Challengers Bangalore,72,80,7,1,11,14,90.0,6.545454545454546,0.4722222222222222
Pankaj Singh,Rajasthan Royals,5,8,0,0,0,2,62.5,5.0,0.0
Pankaj Singh,Royal Challengers Bangalore,2,4,0,0,2,3,50.0,1.0,0.0
Parvez Rasool,Pune Warriors,5,9,0,0,1,2,55.55555555555556,5.0,0.0
Parvez Rasool,Royal Challengers Bangalore,10,9,1,0,1,1,111.11111111111111,10.0,0.4
Parvez Rasool,Sunrisers Hyderabad,2,2,0,0,0,1,100.0,2.0,0.0
Q de Kock,Delhi Daredevils,720,550,89,21,22,23,130.9090909090909,32.72727272727273,0.6694444444444444
Q de Kock,Kolkata Knight Riders,4,5,1,0,1,1,80.0,4.0,1.0
Q de Kock,Lucknow Super Giants,901,647,86,40,30,30,139.258114374034,30.033333333333335,0.6481687014428413
Q de Kock,Mumbai Indians,1332,1033,120,54,39,43,128.94482090997096,34.15384615384615,0.6036036036036037
Q de Kock,Royal Challengers Bangalore,201,164,20,8,7,8,122.5609756097561,28.714285714285715,0.6368159203980099
Q de Kock,Sunrisers Hyderabad,6,16,1,0,3,3,37.5,2.0,0.6666666666666666
R Ashwin,Chennai Super Kings,190,208,19,1,18,30,91.34615384615384,10.555555555555555,0.43157894736842106
R Ashwin,Delhi Capitals,81,77,5,2,6,10,105.1948051948052,13.5,0.3950617283950617
R Ashwin,Kings XI Punjab,144,104,10,8,13,14,138.46153846153845,11.076923076923077,0.6111111111111112
R Ashwin,Rajasthan Royals,344,271,24,16,20,29,126.93726937269372,17.2,0.5581395348837209
R Ashwin,Rising Pune Supergiants,41,38,3,1,2,6,107.89473684210526,20.5,0.43902439024390244
R Bhatia,Delhi Daredevils,66,63,4,4,10,11,104.76190476190477,6.6,0.6060606060606061
R Bhatia,Kolkata Knight Riders,159,134,15,3,11,22,118.65671641791045,14.454545454545455,0.49056603773584906
R Bhatia,Rajasthan Royals,67,56,4,3,6,8,119.64285714285714,11.166666666666666,0.5074626865671642
R Bhatia,Rising Pune Supergiant,16,17,0,1,1,1,94.11764705882352,16.0,0.375
R Bhatia,Rising Pune Supergiants,34,20,1,2,1,5,170.0,34.0,0.47058823529411764
R Bishnoi,Royal Challengers Bangalore,19,17,1,2,3,3,111.76470588235294,6.333333333333333,0.8421052631578947
R Dhawan,Kings XI Punjab,132,114,10,4,4,12,115.78947368421053,33.0,0.48484848484848486
R Dhawan,Mumbai Indians,21,21,3,0,3,4,100.0,7.0,0.5714285714285714
R Dhawan,Punjab Kings,57,53,5,3,3,6,107.54716981132076,19.0,0.6666666666666666
R Dravid,Rajasthan Royals,1276,1177,172,11,43,45,108.41121495327101,29.674418604651162,0.5909090909090909
R Dravid,Royal Challengers Bangalore,898,741,97,17,34,37,121.18758434547907,26.41176470588235,0.5456570155902004
R McLaren,Kings XI Punjab,90,101,7,1,3,4,89.10891089108911,30.0,0.37777777777777777
R McLaren,Kolkata Knight Riders,3,6,0,0,2,2,50.0,1.5,0.0
R McLaren,Mumbai Indians,66,71,7,0,3,7,92.95774647887323,22.0,0.42424242424242425
R Minz,Mumbai Indians,3,10,0,0,1,1,30.0,3.0,0.0
R Ninan,Royal Challengers Bangalore,3,6,0,0,1,1,50.0,3.0,0.0
R Parag,Rajasthan Royals,1177,911,85,60,48,59,129.19868276619098,24.520833333333332,0.594732370433305
R Powell,Delhi Capitals,257,183,11,22,14,15,140.43715846994536,18.357142857142858,0.6848249027237354
R Powell,Rajasthan Royals,103,71,10,6,6,7,145.07042253521126,17.166666666666668,0.7378640776699029
R Rampaul,Royal Challengers Bangalore,51,52,3,2,5,7,98.07692307692307,10.2,0.47058823529411764
R Ravindra,Chennai Super Kings,287,193,24,16,9,11,148.70466321243524,31.88888888888889,0.6689895470383276
R Sai Kishore,Gujarat Titans,13,6,0,2,1,1,216.66666666666666,13.0,0.9230769230769231
R Sanjay Yadav,Mumbai Indians,0,2,0,0,1,1,0.0,0.0,0.0
R Sathish,Kings XI Punjab,109,79,9,5,5,8,137.9746835443038,21.8,0.6055045871559633
R Sathish,Kolkata Knight Riders,24,24,1,1,3,3,100.0,8.0,0.4166666666666667
R Sathish,Mumbai Indians,137,133,12,0,8,13,103.00751879699249,17.125,0.35036496350364965
R Sharma,Deccan Chargers,29,26,3,1,3,4,111.53846153846155,9.666666666666666,0.6206896551724138
R Sharma,Pune Warriors,37,51,2,2,8,15,72.54901960784314,4.625,0.5405405405405406
R Shepherd,Lucknow Super Giants,0,1,0,0,1,1,0.0,0.0,0.0
R Shepherd,Mumbai Indians,57,24,5,5,2,5,237.5,28.5,0.8771929824561403
R Shepherd,Sunrisers Hyderabad,58,43,2,5,3,3,134.88372093023256,19.333333333333332,0.6551724137931034
R Shukla,Delhi Daredevils,18,21,2,0,2,3,85.71428571428571,9.0,0.4444444444444444
R Shukla,Rajasthan Royals,1,2,0,0,0,1,50.0,1.0,0.0
R Tewatia,Delhi Capitals,26,22,2,1,1,4,118.18181818181819,26.0,0.5384615384615384
R Tewatia,Delhi Daredevils,50,47,5,1,4,5,106.38297872340425,12.5,0.52
R Tewatia,Gujarat Titans,492,356,49,21,19,31,138.20224719101125,25.894736842105264,0.6544715447154471
R Tewatia,Kings XI Punjab,19,11,4,0,1,2,172.72727272727272,19.0,0.8421052631578947
R Tewatia,Rajasthan Royals,426,352,24,24,18,23,121.02272727272727,23.666666666666668,0.5633802816901409
R Vinay Kumar,Kochi Tuskers Kerala,50,48,4,1,6,7,104.16666666666667,8.333333333333334,0.44
R Vinay Kumar,Kolkata Knight Riders,10,11,1,0,2,3,90.9090909090909,5.0,0.4
R Vinay Kumar,Mumbai Indians,13,14,0,1,2,4,92.85714285714286,6.5,0.46153846153846156
R Vinay Kumar,Royal Challengers Bangalore,237,216,16,7,16,28,109.72222222222223,14.8125,0.4472573839662447
RA Bawa,Punjab Kings,11,14,1,0,2,2,78.57142857142857,5.5,0.36363636363636365
RA Jadeja,Chennai Super Kings,1914,1471,137,73,73,122,130.1155676410605,26.21917808219178,0.5151515151515151
RA Jadeja,Gujarat Lions,349,307,27,8,14,25,113.68078175895766,24.928571428571427,0.4469914040114613
RA Jadeja,Kochi Tuskers Kerala,283,234,20,14,9,12,120.94017094017093,31.444444444444443,0.5795053003533569
RA Jadeja,Rajasthan Royals,430,384,32,12,19,22,111.97916666666667,22.63157894736842,0.46511627906976744
RA Tripathi,Chennai Super Kings,2,3,0,0,1,1,66.66666666666666,2.0,0.0
RA Tripathi,Kolkata Knight Riders,627,471,62,21,25,27,133.12101910828025,25.08,0.5964912280701754
RA Tripathi,Rajasthan Royals,367,295,31,10,15,19,124.40677966101694,24.466666666666665,0.5013623978201635
RA Tripathi,Rising Pune Supergiant,391,275,43,17,12,14,142.1818181818182,32.583333333333336,0.7007672634271099
RA Tripathi,Sunrisers Hyderabad,851,609,87,36,29,33,139.73727422003284,29.344827586206897,0.6627497062279671
RD Chahar,Mumbai Indians,28,30,3,0,6,9,93.33333333333333,4.666666666666667,0.42857142857142855
RD Chahar,Punjab Kings,98,95,10,5,10,12,103.15789473684211,9.8,0.7142857142857143
RD Chahar,Rising Pune Supergiant,3,2,0,0,0,1,150.0,3.0,0.0
RD Gaikwad,Chennai Super Kings,2433,1807,223,94,57,66,134.64305478693967,42.68421052631579,0.5984381422112618
RD Rickelton,Mumbai Indians,13,7,3,0,1,1,185.71428571428572,13.0,0.9230769230769231
RE Levi,Mumbai Indians,83,74,10,4,6,6,112.16216216216218,13.833333333333334,0.7710843373493976
RE van der Merwe,Delhi Daredevils,36,41,3,0,3,6,87.8048780487805,12.0,0.3333333333333333
RE van der Merwe,Royal Challengers Bangalore,123,103,8,8,9,9,119.41747572815532,13.666666666666666,0.6504065040650406
RG More,Chennai Super Kings,2,2,0,0,0,1,100.0,2.0,0.0
RG Sharma,Deccan Chargers,1170,909,96,51,42,44,128.7128712871287,27.857142857142858,0.5897435897435898
RG Sharma,Mumbai Indians,5460,4278,503,230,191,208,127.6297335203366,28.586387434554975,0.6212454212454213
RJ Gleeson,Chennai Super Kings,2,2,0,0,0,1,100.0,2.0,0.0
RJ Harris,Deccan Chargers,66,57,2,2,5,10,115.78947368421053,13.2,0.30303030303030304
RJ Harris,Kings XI Punjab,51,55,4,1,7,11,92.72727272727272,7.285714285714286,0.43137254901960786
RJ Peterson,Mumbai Indians,32,32,3,1,3,5,100.0,10.666666666666666,0.5625
RJ Quiney,Rajasthan Royals,103,105,12,3,7,7,98.09523809523809,14.714285714285714,0.6407766990291263
