Team,Player Name,Player Type, Batting_T20_M, Batting_T20_Inn, Batting_T20_Runs, Batting_T20_BF, Batting_T20_HS, Batting_T20_Avg, Batting_T20_SR, Batting_T20_NO, Batting_T20_4s , Batting_T20_6s, Batting_T20_50, Batting_T20_100, Batting_T20_200, Batting_IPL_M, Batting_IPL_Inn, Batting_IPL_Runs, Batting_IPL_BF, Batting_IPL_HS, Batting_IPL_Avg, Batting_IPL_SR, Batting_IPL_NO, Batting_IPL_4s , Batting_IPL_6s, Batting_IPL_50, Batting_IPL_100, Batting_IPL_200
PBKS,Josh Inglis,WK,29,28,706,450,110,30.7,156.89,5,67,28,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
PBKS,Vyshak Vijaykumar,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,12,4,14,12,13,7.0,116.67,2.0,0.0,1,0,0,0
PBKS,Pravin Dubey,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,2,23,33,16,23.0,69.7,1.0,2.0,0,0,0,0
PBKS,Yash Thakur,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
PBKS,Shreyas Iyer,BAT,51,47,1104,811,74,30.67,136.13,11,90,44,8,0,0,119,119,3295,2537,97,33.28,129.88,20.0,281.0,127,23,0,0
PBKS,Marcus Stoinis,ALL,74,61,1245,838,78,31.92,148.57,22,99,63,5,0,0,100,91,1891,1343,124,27.41,140.81,22.0,151.0,93,9,1,0
PBKS,Yuzvendra Chahal,BOWL,80,6,6,13,3,3.0,46.16,4,0,0,0,0,0,164,20,37,86,8,5.29,43.03,13.0,0.0,0,0,0,0
PBKS,Glenn Maxwell,ALL,116,106,2664,1719,145,29.93,154.98,17,224,137,11,5,0,138,132,2802,1792,95,24.37,156.37,17.0,235.0,161,18,0,0
RCB,Abhinandan Singh,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
RCB,Swastik Chikara,BAT,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
RCB,Mohit Rathee,ALL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,1,1,2,1,0.0,50.0,1.0,0.0,0,0,0,0
RCB,Suyash Sharma,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,17,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
RCB,Jacob Bethell,BAT,10,9,196,133,62,32.67,147.37,3,14,11,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
RCB,Rasikh Salam,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,13,6,40,40,10,8.0,100.0,1.0,5.0,0,0,0,0
RCB,Yash Dayal,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,33,1,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0
RCB,Manoj Bhandage,ALL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
RCB,Nuwan Thushara,BOWL,18,7,9,17,6,4.5,52.95,5,1,0,0,0,0,7,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
RCB,Romario Shepherd,ALL,53,34,537,386,44,26.85,139.12,14,25,39,0,0,0,10,9,115,63,39,23.0,182.54,4.0,7.0,10,0,0,0
RCB,Tim David,BAT,54,48,1201,745,92,33.36,161.21,12,101,65,6,0,0,43,39,751,434,46,31.29,173.05,15.0,44.0,55,0,0,0
RCB,Devdutt Padikkal,BAT,2,2,38,38,29,19.0,100.0,0,2,1,0,0,0,69,69,1638,1323,101,24.45,123.81,2.0,175.0,47,9,1,0
RCB,Krunal Pandya,ALL,19,10,124,95,26,24.8,130.53,5,8,6,0,0,0,132,114,1670,1266,86,21.41,131.92,36.0,146.0,61,1,0,0
RCB,Rajat Patidar,BAT,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,29,985,618,112,35.18,159.39,1.0,68.0,63,9,1,0
RCB,Jitesh Sharma,WK,9,7,100,68,35,14.29,147.06,0,11,4,0,0,0,45,40,818,540,49,23.37,151.49,5.0,61.0,51,0,0,0
RCB,Lungi Ngidi,BOWL,43,13,41,52,13,8.2,78.85,8,4,0,0,0,0,14,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
RCB,Philip Salt,WK,43,40,1193,726,119,34.09,164.33,5,116,61,5,3,0,26,26,796,451,89,33.17,176.5,2.0,94.0,41,7,0,0
RCB,Liam Livingstone,ALL,60,47,955,641,103,25.13,148.99,9,54,59,2,1,0,44,44,1022,640,94,27.62,159.69,7.0,69.0,73,7,0,0
RCB,Josh Hazlewood,BOWL,52,10,29,27,13,9.67,107.41,7,2,1,0,0,0,32,6,19,28,7,0.0,67.86,6.0,1.0,0,0,0,0
RCB,Bhuvneshwar Kumar,BOWL,87,21,67,94,16,8.38,71.28,13,0,0,0,0,0,180,71,308,334,27,8.8,92.22,36.0,30.0,3,0,0,0
RCB,Swapnil Singh,ALL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,14,9,51,45,15,10.2,113.34,4.0,3.0,3,0,0,0
RCB,Virat Kohli,BAT,125,117,4188,3056,122,48.7,137.05,31,369,124,38,1,0,257,249,8190,6193,113,38.82,132.25,38.0,721.0,280,57,8,0
RR,Vaibhav Suryavanshi,BAT,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
RR,Ashok Sharma,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
RR,Kwena Maphaka,BOWL,5,3,16,19,12,0.0,84.22,3,2,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
RR,Kunal Singh Rathore,WK,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
RR,Akash Madhwal,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,13,1,4,5,4,0.0,80.0,1.0,0.0,0,0,0,0
RR,Shubham Dubey,BAT,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,7,6,77,45,34,19.25,171.12,2.0,5.0,6,0,0,0
RR,Yudhvir Singh Charak,ALL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,6,4,22,16,14,5.5,137.5,0.0,1.0,2,0,0,0
RR,Maheesh Theekshana,BOWL,60,26,66,103,14,3.88,64.08,9,4,2,0,0,0,32,5,15,25,7,7.5,60.0,3.0,0.0,1,0,0,0
RR,Dhruv Jurel,WK,4,3,12,23,6,4.0,52.18,0,1,0,0,0,0,32,27,471,308,70,24.79,152.93,8.0,41.0,23,3,0,0
RR,Kumar Kartikeya,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,14,3,10,13,6,3.33,76.93,0.0,1.0,0,0,0,0
RR,Yashasvi Jaiswal,BAT,23,22,723,440,100,36.15,164.32,2,82,38,5,1,0,57,57,1714,1151,124,31.16,148.92,2.0,205.0,71,10,2,0
RR,FazalHaq Farooqi,BOWL,43,12,12,19,4,4.0,63.16,9,1,0,0,0,0,9,2,3,13,2,0.0,23.08,2.0,0.0,0,0,0,0
RR,Riyan Parag,ALL,9,6,106,70,34,17.67,151.43,0,3,9,0,0,0,74,63,1308,952,84,25.15,137.4,11.0,91.0,71,6,0,0
RR,Tushar Deshpande,BOWL,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,7,27,20,20,13.5,135.0,5.0,2.0,1,0,0,0
RR,Jofra Archer,BOWL,34,12,82,62,21,11.71,132.26,5,6,4,0,0,0,45,29,220,142,27,13.75,154.93,13.0,11.0,16,0,0,0
RR,Wanindu Hasaranga,ALL,79,67,712,552,71,13.43,128.99,14,71,16,2,0,0,29,16,80,82,18,6.67,97.57,4.0,7.0,1,0,0,0
RR,Nitish Rana,ALL,2,2,15,27,9,7.5,55.56,0,0,0,0,0,0,112,106,2749,2015,87,28.05,136.43,8.0,248.0,137,19,0,0
RR,Shimron Hetmyer,BAT,62,52,942,795,81,20.04,118.5,5,63,47,5,0,0,77,71,1383,903,75,30.73,153.16,26.0,85.0,91,5,0,0
RR,Sandeep Sharma,BOWL,2,1,1,1,1,0.0,100.0,1,0,0,0,0,0,131,28,60,75,9,10.0,80.0,22.0,4.0,0,0,0,0
RR,Sanju Samson,WK,42,38,861,565,111,25.32,152.39,4,71,49,2,3,0,172,168,4597,3298,119,30.85,139.39,19.0,372.0,213,26,3,0
SRH,Aniket Verma,BAT,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,5,5,141,77,74,28.2,183.12,0.0,8.0,12,1,0,0
SRH,Eshan Malinga,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
SRH,K Nitish Reddy,ALL,4,3,90,50,74,45.0,180.0,1,4,8,1,0,0,20,16,415,306,76,29.64,135.63,2.0,26.0,23,2,0,0
SRH,Abhinav Manohar,BAT,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,22,18,237,187,43,13.94,126.74,1.0,21.0,10,0,0,0
SRH,Atharva Taide,BAT,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,9,9,247,168,66,27.44,147.03,0.0,27.0,8,2,0,0
SRH,Simarjeet- Singh,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,14,6,10,15,3,3.33,66.67,3.0,0.0,0,0,0,0
SRH,Rahul Chahar,BOWL,6,1,5,5,5,5.0,100.0,0,1,0,0,0,0,78,24,129,124,25,8.06,104.04,8.0,13.0,5,0,0,0
SRH,Abhishek Sharma,ALL,17,16,535,276,135,33.44,193.85,0,46,41,2,2,0,68,66,1427,927,75,24.19,153.94,7.0,138.0,73,7,0,0
SRH,Kamindu Mendis,BAT,23,21,381,311,65,19.05,122.51,1,39,13,2,0,0,2,2,28,25,27,14.0,112.0,0.0,1.0,2,0,0,0
SRH,Wiaan Mulder,ALL,11,8,105,90,36,17.5,116.67,2,8,3,0,0,0,1,1,9,11,9,9.0,81.82,0.0,1.0,0,0,0,0
SRH,Zeeshan Ansari,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
SRH,Ishan Kishan,WK,32,32,796,640,89,25.68,124.38,1,79,36,6,0,0,110,104,2771,2018,106,28.57,137.32,7.0,268.0,125,16,1,0
SRH,Heinrich Klaasen,WK,58,53,1000,705,81,23.26,141.85,10,72,52,5,0,0,40,37,1145,680,104,36.94,168.39,6.0,69.0,71,6,1,0
SRH,Sachin Baby,BAT,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,19,11,144,118,33,16.0,122.04,2.0,11.0,5,0,0,0
SRH,Travis Head,BAT,38,37,1093,681,91,33.12,160.5,4,114,53,5,0,0,30,30,920,522,102,35.38,176.25,4.0,97.0,46,6,1,0
SRH,Adam Zampa,BOWL,95,22,68,76,13,5.67,89.48,10,7,0,0,0,0,22,5,15,24,7,3.0,62.5,0.0,1.0,0,0,0,0
SRH,Harshal Patel,BOWL,25,10,77,57,18,12.83,135.09,4,9,3,0,0,0,110,45,269,228,36,9.28,117.99,16.0,16.0,15,0,0,0
SRH,Pat Cummins,BOWL,57,27,158,133,28,10.53,118.8,12,11,7,0,0,0,63,46,571,380,66,19.69,150.27,17.0,38.0,38,3,0,0
SRH,Mohammed Shami,BOWL,25,5,7,10,7,3.5,70.0,3,0,1,0,0,0,115,29,84,89,21,6.0,94.39,15.0,7.0,2,0,0,0
SRH,Jaydev Unadkat,BOWL,10,0,0,0,0,0.0,0.0,0,0,0,0,0,0,106,32,197,166,26,12.31,118.68,16.0,16.0,7,0,0,0
