Team,Player Name,Player Type, Batting_T20_M, Batting_T20_Inn, Batting_T20_Runs, Batting_T20_BF, Batting_T20_HS, Batting_T20_Avg, Batting_T20_SR, Batting_T20_NO, Batting_T20_4s , Batting_T20_6s, Batting_T20_50, Batting_T20_100, Batting_T20_200, Batting_IPL_M, Batting_IPL_Inn, Batting_IPL_Runs, Batting_IPL_BF, Batting_IPL_HS, Batting_IPL_Avg, Batting_IPL_SR, Batting_IPL_NO, Batting_IPL_4s , Batting_IPL_6s, Batting_IPL_50, Batting_IPL_100, Batting_IPL_200
DC,Ajay Mandal,ALL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
DC,Darshan Nalkande,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,6,2,12,12,12,6.0,100.0,0.0,0.0,1,0,0,0
DC,T Natarajan,BOWL,4,0,0,0,0,0.0,0.0,0,0,0,0,0,0,61,4,3,5,3,0.0,60.0,4.0,0.0,0,0,0,0
DC,Mukesh Kumar,BOWL,17,4,5,5,4,5.0,100.0,3,1,0,0,0,0,24,5,10,18,6,10.0,55.56,4.0,0.0,0,0,0,0
DC,Kuldeep Yadav,BOWL,40,7,46,59,23,11.5,77.97,3,2,0,0,0,0,88,34,188,221,35,14.46,85.07,21.0,17.0,3,0,0,0
DC,Mohit Sharma,BOWL,8,2,3,7,3,0.0,42.86,2,0,0,0,0,0,116,32,125,135,21,7.35,92.6,15.0,8.0,4,0,0,0
DC,Lokesh Rahul,WK,72,68,2265,1628,110,37.75,139.13,8,191,99,22,2,0,135,126,4868,3588,132,46.36,135.68,21.0,415.0,197,39,4,0
DC,Axar Patel,ALL,71,44,535,384,65,18.45,139.33,15,41,23,1,0,0,154,116,1711,1299,66,21.39,131.72,36.0,114.0,81,3,0,0
DC,Dushmantha Chameera,BOWL,55,28,101,113,24,6.73,89.39,13,9,1,0,0,0,13,8,43,28,17,10.75,153.58,4.0,3.0,3,0,0,0
DC,Karun Nair,BAT,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,76,68,1496,1171,83,23.75,127.76,5.0,161.0,39,10,0,0
DC,Faf du Plessis,BAT,50,50,1528,1137,119,35.53,134.39,7,140,50,10,1,0,148,141,4652,3404,96,35.78,136.67,11.0,427.0,171,38,0,0
DC,Mitchell Starc,BOWL,65,21,98,100,14,9.8,98.0,11,4,2,0,0,0,44,18,107,114,29,10.7,93.86,8.0,11.0,0,0,0,0
GT,Gurnoor Brar Singh,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
GT,Nishant Sindhu,ALL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
GT,Arshad Khan,ALL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,13,9,102,70,58,25.5,145.72,5.0,6.0,6,1,0,0
GT,Sai Sudharsan,BAT,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,30,30,1307,923,103,48.41,141.61,3.0,119.0,43,9,1,0
GT,Kumar Kushagra,WK,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,3,3,7,2,1.0,42.86,0.0,0.0,0,0,0,0
GT,Manav Suthar,ALL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,1,1,2,1,1.0,50.0,0.0,0.0,0,0,0,0
GT,Sherfane Rutherford,BAT,28,23,428,299,68,25.18,143.15,6,26,29,2,0,0,15,14,242,180,46,24.2,134.45,4.0,14.0,18,0,0,0
GT,Gerald Coetzee,BOWL,10,9,81,60,23,11.57,135.0,2,4,6,0,0,0,10,5,14,22,8,3.5,63.64,1.0,0.0,1,0,0,0
GT,Anuj Rawat,WK,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,21,318,267,66,19.88,119.11,5.0,26.0,14,1,0,0
GT,Kulwant Khejroliya,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
GT,Shubman Gill,BAT,21,21,578,415,126,30.42,139.28,2,60,22,3,1,0,108,105,3364,2471,129,37.8,136.14,16.0,326.0,100,21,4,0
GT,Ravisrinivasan Sai Kishore,BOWL,3,0,0,0,0,0.0,0.0,0,0,0,0,0,0,15,3,14,7,13,7.0,200.0,1.0,0.0,2,0,0,0
GT,Mahipal Lomror,BAT,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,35,527,373,54,18.17,141.29,6.0,33.0,30,1,0,0
GT,Karim Janat,ALL,67,48,691,596,56,17.72,115.94,9,49,28,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
GT,Washington Sundar,ALL,54,22,193,159,50,13.79,121.39,8,16,9,1,0,0,61,41,427,354,49,15.25,120.63,13.0,37.0,11,0,0,0
GT,Shahrukh Khan,ALL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,45,41,604,419,58,20.13,144.16,11.0,39.0,41,1,0,0
GT,Mohammed Siraj,BOWL,16,5,14,16,7,7.0,87.5,3,1,0,0,0,0,98,25,109,119,14,10.9,91.6,15.0,10.0,4,0,0,0
GT,Glenn Phillips,BAT,83,74,1928,1372,108,31.1,140.53,12,138,91,10,2,0,8,8,65,55,25,9.29,118.19,1.0,3.0,6,0,0,0
GT,Rashid-Khan,BOWL,96,59,467,370,48,13.74,126.22,25,31,28,0,0,0,126,62,563,345,79,14.44,163.19,23.0,40.0,40,1,0,0
GT,Prasidh Krishna,BOWL,5,0,0,0,0,0.0,0.0,0,0,0,0,0,0,56,10,9,24,4,3.0,37.5,7.0,0.0,0,0,0,0
GT,Jayant Yadav,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,5,40,36,23,10.0,111.12,1.0,2.0,1,0,0,0
GT,Rahul Tewatia,ALL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,98,68,1043,766,53,24.83,136.17,26.0,86.0,50,1,0,0
GT,Kagiso Rabada,BOWL,65,24,156,141,22,17.33,110.64,15,14,5,0,0,0,82,32,213,198,44,12.53,107.58,15.0,16.0,9,0,0,0
GT,Jos Buttler,WK,134,123,3535,2411,101,35.35,146.62,23,322,152,26,1,0,112,111,3784,2552,124,38.61,148.28,13.0,374.0,170,21,7,0
GT,Ishant Sharma,BOWL,14,3,8,9,5,8.0,88.89,2,1,0,0,0,0,113,28,57,69,10,9.5,82.61,22.0,4.0,2,0,0,0
KKR,Harshit Rana,BOWL,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,25,6,21,26,10,5.25,80.77,2.0,3.0,0,0,0,0
KKR,Angkrish Raghuvanshi,BAT,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,15,12,296,196,54,26.91,151.03,1.0,29.0,12,2,0,0
KKR,Vaibhav Arora,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,8,9,16,2,4.5,56.25,6.0,0.0,0,0,0,0
KKR,Luvnith Sisodia,WK,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
KKR,Mayank Markande,BOWL,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,37,11,48,42,18,16.0,114.29,8.0,5.0,1,0,0,0
KKR,Chetan Sakariya,BOWL,2,1,5,9,5,0.0,55.56,1,0,0,0,0,0,19,8,20,31,7,3.33,64.52,2.0,3.0,0,0,0,0
KKR,Rahmanullah Gurbaz,WK,66,66,1683,1252,100,25.5,134.43,0,128,95,10,1,0,13,13,289,216,81,22.23,133.8,0.0,24.0,19,2,0,0
KKR,Spencer Johnson,BOWL,8,1,0,1,0,0.0,0.0,0,0,0,0,0,0,9,5,8,11,5,0.0,72.73,5.0,1.0,0,0,0,0
KKR,Varun Chakravarthy,BOWL,18,3,1,6,1,0.5,16.67,1,0,0,0,0,0,75,12,25,46,10,6.25,54.35,8.0,2.0,0,0,0,0
KKR,Anrich Nortje,BOWL,42,12,17,35,4,2.83,48.58,6,1,0,0,0,0,46,15,49,49,23,8.17,100.0,9.0,6.0,0,0,0,0
KKR,Anukul Sudhakar Roy,ALL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,10,6,26,24,13,8.67,108.34,3.0,3.0,0,0,0,0
KKR,Ramandeep Singh,ALL,2,1,15,6,15,15.0,250.0,0,1,1,0,0,0,24,16,199,125,35,24.88,159.2,8.0,9.0,15,0,0,0
KKR,Rovman Powell,BAT,91,79,1747,1245,107,25.69,140.33,11,99,117,8,1,0,26,22,360,244,67,18.95,147.55,3.0,21.0,28,1,0,0
KKR,Rinku Singh,BAT,33,24,546,339,69,42.0,161.07,11,45,31,3,0,0,50,44,992,679,67,32.0,146.1,13.0,79.0,50,4,0,0
KKR,Venkatesh Iyer,BAT,9,7,133,82,35,33.25,162.2,3,15,5,0,0,0,55,53,1440,1041,104,31.3,138.33,7.0,135.0,65,12,1,0
KKR,Moeen Ali,ALL,92,75,1229,863,72,21.19,142.42,17,88,68,7,0,0,69,58,1167,833,93,22.44,140.1,6.0,95.0,67,6,0,0
KKR,Quinton de Kock,WK,92,91,2584,1868,100,31.51,138.33,9,264,103,16,1,0,112,112,3275,2436,140,31.19,134.45,7.0,325.0,131,24,2,0
KKR,Andre Russell,ALL,83,72,1063,648,71,22.15,164.05,24,63,89,3,0,0,131,109,2501,1440,88,28.1,173.69,20.0,172.0,210,11,0,0
KKR,Sunil Narine,ALL,51,23,155,138,30,10.33,112.32,8,13,5,0,0,0,180,114,1615,973,109,17.18,165.99,20.0,173.0,103,7,1,0
KKR,Manish Pandey,BAT,39,33,709,562,79,44.31,126.16,17,49,19,3,0,0,172,160,3869,3193,114,29.09,121.18,27.0,336.0,111,22,1,0
KKR,Ajinkya Rahane,BAT,20,20,375,331,61,20.83,113.3,2,32,6,1,0,0,190,176,4826,3876,105,30.35,124.51,17.0,495.0,115,32,2,0
KKR,Umran Malik,BOWL,8,2,5,2,4,0.0,250.0,2,1,0,0,0,0,26,6,23,16,19,11.5,143.75,4.0,1.0,2,0,0,0
LSG,Digvesh Singh,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,5,1,0,0,0,0.0,0.0,1.0,0.0,0,0,0,0
LSG,Prince Yadav,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
LSG,Shamar Joseph,BOWL,9,3,5,4,5,0.0,125.0,3,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
LSG,Mayank Yadav,BOWL,3,1,1,1,1,0.0,100.0,1,0,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
LSG,Arshin Kulkarni,ALL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2,2,9,8,9,4.5,112.5,0.0,2.0,0,0,0,0
LSG,Akash Deep,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,10,4,19,13,17,6.33,146.16,1.0,2.0,1,0,0,0
LSG,Akash Singh,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,7,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
LSG,Yuvraj Chaudhary,ALL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
LSG,Ravi Bishnoi,BOWL,42,13,55,42,9,7.86,130.96,6,8,1,0,0,0,71,16,32,52,6,3.56,61.54,7.0,2.0,0,0,0,0
LSG,Abdul Samad,BAT,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,54,44,636,421,37,19.27,151.07,11.0,43.0,40,0,0,0
LSG,Shahbaz Ahmed,ALL,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0,56,38,545,448,59,18.79,121.66,9.0,29.0,25,1,0,0
LSG,Rajvardhan Hangargekar,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
LSG,Ayush Badoni,BAT,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,47,39,715,536,59,23.83,133.4,9.0,52.0,27,4,0,0
LSG,Aryan Juyal,WK,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
LSG,Mohsin Khan,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,5,25,24,13,8.33,104.17,2.0,2.0,1,0,0,0
LSG,Matthew Breetzke,BAT,10,10,151,123,51,16.78,122.77,1,13,6,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
LSG,Manimaran Siddharth,BOWL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
LSG,Rishabh Pant,WK,76,66,1209,949,65,23.25,127.4,14,111,44,3,0,0,116,114,3303,2237,128,34.05,147.66,17.0,296.0,155,18,1,0
LSG,Himmat Singh,BAT,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
LSG,Aiden Markram,ALL,57,53,1367,950,70,30.38,143.9,8,123,56,9,0,0,49,47,1139,868,68,29.97,131.23,9.0,84.0,43,6,0,0
LSG,Avesh Khan,BOWL,25,5,27,20,16,13.5,135.0,3,3,1,0,0,0,66,12,43,26,12,21.5,165.39,10.0,3.0,3,0,0,0
LSG,Nicholas Pooran,WK,106,97,2275,1668,98,26.15,136.4,10,152,149,13,0,0,81,78,2057,1218,87,34.86,168.89,19.0,137.0,151,12,0,0
