Team,Player Name,Player Type,Bowling_T20_M,Bowling_T20_Inn,Bowling_T20_B,Bowling_T20_Runs,Bowling_T20_Wkts,Bowling_T20_Avg,Bowling_T20_Econ,Bowling_T20_SR,Bowling_T20_BBI,Bowling_T20_BBM,Bowling_T20_5w,Bowling_T20_10w,Bowling_IPL_M,Bowling_IPL_Inn,Bowling_IPL_B,Bowling_IPL_Runs,Bowling_IPL_Wkts,Bowling_IPL_Avg,Bowling_IPL_Econ,Bowling_IPL_SR,Bowling_IPL_BBI,Bowling_IPL_BBM,Bowling_IPL_5w,Bowling_IPL_10w
LSG,Prince Yadav,BOWL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,2,2,48,76,1,76.0,9.5,48.0,1/29,1/29,0,0
LSG,Shamar Joseph,BOWL,9,9,168,271,10,27.1,9.68,16.8,3/31,3/31,0,0,1,1,24,47,0,0.0,11.75,0.0,0/47,0/47,0,0
LSG,Mayank Yadav,BOWL,3,3,72,83,4,20.75,6.92,18.0,2/32,2/32,0,0,4,4,73,85,7,12.14,6.99,10.43,3/14,3/14,0,0
LSG,Arshin Kulkarni,ALL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,2,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
LSG,Akash Deep,BOWL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,10,10,212,420,10,42.0,11.89,21.2,3/45,3/45,0,0
LSG,Akash Singh,BOWL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,7,7,138,227,5,45.4,9.87,27.6,2/40,2/40,0,0
LSG,Yuvraj Chaudhary,ALL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
LSG,Ravi Bishnoi,BOWL,42,42,964,1182,61,19.38,7.36,15.8,4/13,4/13,0,0,71,70,1525,2061,67,30.76,8.11,22.76,3/24,3/24,0,0
LSG,Abdul Samad,BAT,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,54,6,56,119,2,59.5,12.75,28.0,1/9,1/9,0,0
LSG,Shahbaz Ahmed,ALL,2,2,32,41,2,20.5,7.69,16.0,1/13,1/13,0,0,56,43,546,859,21,40.9,9.44,26.0,3/7,3/7,0,0
LSG,Rajvardhan Hangargekar,BOWL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,2,2,36,60,3,20.0,10.0,12.0,3/36,3/36,0,0
LSG,Ayush Badoni,BAT,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,47,5,25,36,2,18.0,8.64,12.5,1/5,1/5,0,0
LSG,Aryan Juyal,WK,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
LSG,Mohsin Khan,BOWL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,24,23,486,689,27,25.52,8.51,18.0,4/16,4/16,0,0
LSG,Matthew Breetzke,BAT,10,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
LSG,Manimaran Siddharth,BOWL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,5,5,96,138,3,46.0,8.63,32.0,2/39,2/39,0,0
LSG,Rishabh Pant,WK,76,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,116,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
LSG,Himmat Singh,BAT,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
LSG,Aiden Markram,ALL,57,30,342,487,13,37.46,8.54,26.31,3/21,3/21,0,0,49,14,121,172,2,86.0,8.53,60.5,1/8,1/8,0,0
LSG,Avesh Khan,BOWL,25,24,499,752,27,27.85,9.04,18.48,4/18,4/18,0,0,66,66,1425,2134,77,27.71,8.99,18.51,4/24,4/24,0,0
LSG,Nicholas Pooran,WK,106,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,81,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
LSG,David Miller,BAT,130,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,135,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
LSG,Mitchell Marsh,BAT,65,25,300,387,17,22.76,7.74,17.65,3/24,3/24,0,0,47,34,560,795,37,21.49,8.52,15.14,4/25,4/25,0,0
MI,Bevon Jacobs,BAT,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
MI,Naman Dhir,ALL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,12,4,46,67,0,0.0,8.74,0.0,0/12,0/12,0,0
MI,Robin Minz,WK,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,2,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
MI,Raj Angad Bawa,BAT,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,3,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
MI,Vignesh Puthur,BOWL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,4,4,66,94,6,15.67,8.55,11.0,3/32,3/32,0,0
MI,Satyanarayana Raju,ALL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,2,2,24,53,1,53.0,13.25,24.0,1/40,1/40,0,0
MI,Ashwani Kumar,BOWL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,2,2,36,63,5,12.6,10.5,7.2,4/24,4/24,0,0
MI,Tilak Varma,BAT,25,3,30,26,2,13.0,5.2,15.0,1/5,1/5,0,0,43,4,22,28,0,0.0,7.64,0.0,0/6,0/6,0,0
MI,KL Shrijith,WK,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
MI,Mujeeb-ur-Rahman,BOWL,49,49,1080,1141,63,18.11,6.34,17.14,5/20,5/20,1,0,20,20,446,620,20,31.0,8.34,22.3,3/27,3/27,0,0
MI,Ryan Rickelton,WK,13,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,5,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
MI,Arjun Tendulkar,BOWL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,5,5,73,114,3,38.0,9.37,24.33,1/9,1/9,0,0
MI,Will Jacks,ALL,23,3,18,41,1,41.0,13.67,18.0,1/5,1/5,0,0,12,7,84,142,3,47.33,10.14,28.0,1/23,1/23,0,0
MI,Hardik Pandya,ALL,114,102,1817,2485,94,26.44,8.21,19.33,4/16,4/16,0,0,141,97,1502,2270,74,30.68,9.07,20.3,5/36,5/36,1,0
MI,Mitchell Santner,ALL,109,107,2268,2661,120,22.18,7.04,18.9,4/11,4/11,0,0,23,23,465,574,16,35.88,7.41,29.06,2/13,2/13,0,0
MI,Reece Topley,BOWL,35,35,706,978,33,29.64,8.31,21.39,3/22,3/22,0,0,5,5,102,182,5,36.4,10.71,20.4,2/27,2/27,0,0
MI,Corbin Bosch,ALL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
MI,Jasprit Bumrah,BOWL,70,69,1509,1579,89,17.74,6.28,16.96,3/7,3/7,0,0,134,134,3077,3745,165,22.7,7.3,18.65,5/10,5/10,2,0
MI,Trent Boult,BOWL,61,61,1389,1779,83,21.43,7.68,16.73,4/13,4/13,0,0,108,108,2445,3399,126,26.98,8.34,19.4,4/18,4/18,0,0
MI,Suryakumar Yadav,BAT,83,1,6,5,2,2.5,5.0,3.0,2/5,2/5,0,0,155,1,6,8,0,0.0,8.0,0.0,0/8,0/8,0,0
MI,Deepak Chahar,BOWL,25,25,540,747,31,24.1,8.3,17.42,6/7,6/7,1,0,86,86,1741,2349,81,29.0,8.1,21.49,4/13,4/13,0,0
MI,Karn Sharma,BOWL,1,1,24,28,1,28.0,7.0,24.0,1/28,1/28,0,0,84,82,1495,2087,76,27.46,8.38,19.67,4/16,4/16,0,0
MI,Rohit Sharma,BAT,159,9,68,113,1,113.0,9.97,68.0,1/22,1/22,0,0,261,32,339,453,15,30.2,8.02,22.6,4/6,4/6,0,0
PBKS,Musheer Khan,ALL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
PBKS,Harnoor Singh Pannu,BAT,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
PBKS,Pyla Avinash,BAT,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
PBKS,Suryansh Shedge,ALL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,3,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
PBKS,Harpreet Brar,BOWL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,41,39,679,895,25,35.8,7.91,27.16,4/30,4/30,0,0
PBKS,Priyansh Arya,BAT,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,4,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
PBKS,Kuldeep Sen,BOWL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,12,12,241,387,14,27.64,9.63,17.21,4/20,4/20,0,0
PBKS,Marco Jansen,ALL,17,17,373,506,16,31.63,8.14,23.31,3/16,3/16,0,0,25,25,546,880,23,38.26,9.67,23.74,3/25,3/25,0,0
PBKS,Nehal Wadhera,BAT,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,23,1,12,13,0,0.0,6.5,0.0,0/13,0/13,0,0
PBKS,Prabhsimran Singh,WK,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,38,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
PBKS,Aaron Hardie,ALL,13,10,180,250,10,25.0,8.33,18.0,3/21,3/21,0,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
PBKS,Arshdeep Singh,BOWL,63,63,1310,1812,99,18.3,8.3,13.23,4/9,4/9,0,0,69,69,1460,2205,82,26.89,9.06,17.8,5/32,5/32,1,0
PBKS,Azmatullah Omarzai,ALL,47,42,670,935,31,30.16,8.37,21.61,4/9,4/9,0,0,8,8,138,215,4,53.75,9.35,34.5,2/27,2/27,0,0
