Team,Player Name,Player Type,Bowling_T20_M,Bowling_T20_Inn,Bowling_T20_B,Bowling_T20_Runs,Bowling_T20_Wkts,Bowling_T20_Avg,Bowling_T20_Econ,Bowling_T20_SR,Bowling_T20_BBI,Bowling_T20_BBM,Bowling_T20_5w,Bowling_T20_10w,Bowling_IPL_M,Bowling_IPL_Inn,Bowling_IPL_B,Bowling_IPL_Runs,Bowling_IPL_Wkts,Bowling_IPL_Avg,Bowling_IPL_Econ,Bowling_IPL_SR,Bowling_IPL_BBI,Bowling_IPL_BBM,Bowling_IPL_5w,Bowling_IPL_10w
SRH,Abhinav Manohar,BAT,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,22,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
SRH,Atharva Taide,BAT,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,9,1,1,4,0,0.0,0.0,0.0,0/4,0/4,0,0
SRH,Simarjeet- Singh,BOWL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,14,14,240,400,11,36.36,10.0,21.82,3/26,3/26,0,0
SRH,Rahul Chahar,BOWL,6,6,132,167,7,23.86,7.59,18.86,3/15,3/15,0,0,78,77,1664,2141,75,28.55,7.72,22.19,4/27,4/27,0,0
SRH,Abhishek Sharma,ALL,17,10,114,153,6,25.5,8.05,19.0,2/3,2/3,0,0,68,30,318,471,11,42.82,8.89,28.91,2/4,2/4,0,0
SRH,Kamindu Mendis,BAT,23,9,108,148,2,74.0,8.22,54.0,1/14,1/14,0,0,2,2,12,16,1,16.0,8.0,12.0,1/4,1/4,0,0
SRH,Wiaan Mulder,ALL,11,10,120,195,8,24.38,9.75,15.0,2/10,2/10,0,0,1,1,6,16,0,0.0,16.0,0.0,0/16,0/16,0,0
SRH,Zeeshan Ansari,BOWL,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,3,3,66,100,4,25.0,9.09,16.5,3/42,3/42,0,0
SRH,Ishan Kishan,WK,32,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,110,1,1,4,0,0.0,0.0,0.0,0/4,0/4,0,0
SRH,Heinrich Klaasen,WK,58,1,6,14,0,0.0,14.0,0.0,0/14,0/14,0,0,40,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0
SRH,Sachin Baby,BAT,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,19,2,10,8,2,4.0,4.8,5.0,2/4,2/4,0,0
SRH,Travis Head,BAT,38,4,36,56,1,56.0,9.33,36.0,1/16,1/16,0,0,30,6,58,113,2,56.5,11.69,29.0,2/30,2/30,0,0
SRH,Adam Zampa,BOWL,95,94,2057,2458,117,21.01,7.17,17.58,5/19,5/19,1,0,22,22,467,652,31,21.03,8.38,15.06,6/19,6/19,1,0
SRH,Harshal Patel,BOWL,25,24,503,770,29,26.55,9.18,17.34,4/25,4/25,0,0,110,107,2239,3271,139,23.53,8.77,16.11,5/27,5/27,1,0
SRH,Pat Cummins,BOWL,57,57,1254,1556,66,23.58,7.44,19.0,3/15,3/15,0,0,63,63,1419,2109,67,31.48,8.92,21.18,4/34,4/34,0,0
SRH,Mohammed Shami,BOWL,25,25,510,761,27,28.19,8.95,18.89,3/15,3/15,0,0,115,115,2528,3569,132,27.04,8.47,19.15,4/11,4/11,0,0
SRH,Jaydev Unadkat,BOWL,10,10,208,301,14,21.5,8.68,14.86,3/38,3/38,0,0,106,105,2143,3205,99,32.37,8.97,21.65,5/25,5/25,2,0
