,Batter,Matches,Inns,Runs,90s,Year
1,Virat Kohli,15,15,741,1,2024
2,Ruturaj Gaikwad,14,14,583,1,2024
1,Shreyas Iyer,4,4,168,1,2025
2,Quinton de Kock,5,5,118,1,2025
