Credits,Player Type,Player Name,Team,IsPlaying,lineupOrder
9,ALL,Sunil Narine,KKR,PLAYING,2
8,ALL,Glenn Maxwell,PBKS,PLAYING,7
8,ALL,Andre Russell,KKR,PLAYING,6
7,ALL,Marcus Stoinis,PBKS,NOT_PLAYING,0
7.5,ALL,Moeen Ali,KKR,NOT_PLAYING,0
6.5,ALL,Ramandeep Singh,KKR,PLAYING,7
6,ALL,Anukul Sudhakar Roy,KKR,X_FACTOR_SUBSTITUTE,14
6.5,ALL,Azmatullah Omarzai,PBKS,NOT_PLAYING,0
6,ALL,Aaron Hardie,PBKS,NOT_PLAYING,0
7.5,ALL,Marco Jansen,PBKS,PLAYING,8
5.5,ALL,Suryansh Shedge,PBKS,X_FACTOR_SUBSTITUTE,13
5.5,ALL,Musheer Khan,PBKS,NOT_PLAYING,0
8,WK,Quinton de Kock,KKR,PLAYING,1
7,WK,Josh Inglis,PBKS,PLAYING,4
6.5,WK,Vishnu Vinod,PBKS,NOT_PLAYING,0
7,WK,Rahmanullah Gurbaz,KKR,NOT_PLAYING,0
5.5,WK,Luvnith Sisodia,KKR,X_FACTOR_SUBSTITUTE,16
7.5,WK,Prabhsimran Singh,PBKS,PLAYING,2
8.5,BAT,Ajinkya Rahane,KKR,PLAYING,4
6.5,BAT,Manish Pandey,KKR,X_FACTOR_SUBSTITUTE,12
9,BAT,Shreyas Iyer,PBKS,PLAYING,3
7,BAT,Shashank Singh,PBKS,PLAYING,6
7.5,BAT,Venkatesh Iyer,KKR,PLAYING,3
7.5,BAT,Rinku Singh,KKR,PLAYING,5
6.5,BAT,Rovman Powell,KKR,X_FACTOR_SUBSTITUTE,15
7.5,BAT,Nehal Wadhera,PBKS,PLAYING,5
8,BAT,Priyansh Arya,PBKS,PLAYING,1
5,BAT,Pyla Avinash,PBKS,NOT_PLAYING,0
7,BAT,Angkrish Raghuvanshi,KKR,X_FACTOR_SUBSTITUTE,13
5,BAT,Harnoor Singh Pannu,PBKS,NOT_PLAYING,0
7.5,BOWL,Yuzvendra Chahal,PBKS,PLAYING,11
6.5,BOWL,Yash Thakur,PBKS,X_FACTOR_SUBSTITUTE,14
5.5,BOWL,Pravin Dubey,PBKS,X_FACTOR_SUBSTITUTE,16
6.5,BOWL,Vyshak Vijaykumar,PBKS,X_FACTOR_SUBSTITUTE,12
7.5,BOWL,Lockie Ferguson,PBKS,NOT_PLAYING,0
6,BOWL,Xavier Bartlett,PBKS,PLAYING,9
6.5,BOWL,Anrich Nortje,KKR,PLAYING,9
9,BOWL,Varun Chakravarthy,KKR,PLAYING,11
6.5,BOWL,Spencer Johnson,KKR,NOT_PLAYING,0
5.5,BOWL,Chetan Sakariya,KKR,NOT_PLAYING,0
8.5,BOWL,Arshdeep Singh,PBKS,PLAYING,10
6,BOWL,Mayank Markande,KKR,NOT_PLAYING,0
5.5,BOWL,Kuldeep Sen,PBKS,NOT_PLAYING,0
6,BOWL,Harpreet Brar,PBKS,X_FACTOR_SUBSTITUTE,15
7,BOWL,Vaibhav Arora,KKR,PLAYING,8
8.5,BOWL,Harshit Rana,KKR,PLAYING,10
